Simp-Uni	Simp-C	S-attest	Trad
\u56E2	团	160	團糰
\u56ED	园	99	園
\u56F0	困	46	睏
\u56F1	囱	5	囪
\u56F4	围	65	圍
\u56F5	囵	4	圇
\u56FD	国	974	國
\u56FE	图	207	圖
\u5706	圆	112	圓
\u5723	圣	178	聖
\u5739	圹	1	壙
\u573A	场	296	場塲
\u5742	坂	6	岅
\u574E	坎	41	埳
\u574F	坏	66	壞
\u5750	坐	101	座
\u5751	坑	53	阬
\u5757	块	74	塊
\u575A	坚	57	堅
\u575B	坛	37	壇罈
\u575C	坜	3	壢
\u575D	坝	33	壩
\u575E	坞	7	塢隖
\u575F	坟	14	墳
\u5760	坠	21	墜
\u5764	坤	9	堃
\u5773	坳	3	㘭
\u5784	垄	7	壟
\u5785	垅	1	壠
\u5786	垆	1	壚
\u5792	垒	29	壘
\u579B	垛	4	垜
\u57A6	垦	11	墾
\u57A9	垩	4	堊
\u57AB	垫	45	墊
\u57AD	垭	2	埡
\u57B1	垱	1	壋
\u57B2	垲	1	塏
\u57B4	垴	1	堖
\u57CE	城	466	成
\u57D8	埘	1	塒
\u57D9	埙	1	塤
\u57DA	埚	2	堝
\u5811	堑	4	塹
\u5815	堕	7	墮
\u5819	堙	2	陻
\u5824	堤	12	隄
\u584D	塍	2	堘
\u5854	塔	209	墖
\u5899	墙	51	牆墻
\u58A9	墩	15	墪
\u58EE	壮	50	壯
\u58F0	声	273	聲
\u58F3	壳	54	殼殻
\u58F6	壶	31	壺
\u58F8	壸	1	壼
\u5904	处	186	處
\u5907	备	112	備俻
\u590D	复	198	復複覆
\u591C	夜	142	亱
\u591F	够	16	夠
\u592B	夫	247	伕
\u592D	夭	7	殀
\u5934	头	709	頭
\u5938	夸	31	誇
\u5939	夹	63	夾裌
\u593A	夺	39	奪
\u5941	奁	6	匲匳奩籢
\u5942	奂	3	奐
\u594B	奋	38	奮
\u5954	奔	47	犇逩
\u5956	奖	76	獎
\u5965	奥	139	奧
\u5976	奶	84	妳嬭
\u5978	奸	57	姦
\u5986	妆	26	妝粧
\u5987	妇	74	婦媍
\u5988	妈	33	媽
\u598A	妊	7	姙
\u5992	妒	9	妬
\u5999	妙	44	玅
\u59A9	妩	2	嫵
\u59AA	妪	2	嫗
\u59AB	妫	2	媯嬀
\u59CA	姊	13	姉
\u59D7	姗	4	姍
\u59DC	姜	23	薑
\u59F9	姹	3	奼
\u59FB	姻	11	婣
\u5A04	娄	16	婁
\u5A05	娅	11	婭
\u5A06	娆	2	嬈
\u5A07	娇	31	嬌
\u5A08	娈	4	孌
\u5A18	娘	62	孃
\u5A31	娱	10	娛
\u5A32	娲	3	媧
\u5A34	娴	5	嫺嫻
\u5A40	婀	5	娿
\u5A6A	婪	5	惏
\u5A73	婳	1	嫿
\u5A74	婴	21	嬰
\u5A75	婵	3	嬋
\u5A76	婶	5	嬸
\u5A7F	婿	12	壻
\u5AAA	媪	1	媼
\u5AAD	媭	1	嬃
\u5AD2	嫒	1	嬡
\u5AD4	嫔	3	嬪
\u5AE9	嫩	21	嫰
\u5AF1	嫱	1	嬙
\u5B37	嬷	1	嬤
\u5B59	孙	68	孫
\u5B66	学	930	學
\u5B6A	孪	2	孿
\u5B7D	孽	18	孼
\u5B81	宁	233	寧寕甯
\u5B9D	宝	157	寶寳
\u5B9E	实	247	實
\u5BA0	宠	20	寵
\u5BA1	审	85	審
\u5BAA	宪	25	憲
\u5BAB	宫	93	宮
\u5BB4	宴	28	讌醼
\u5BB6	家	661	傢
\u5BBD	宽	83	寬
\u5BBE	宾	82	賓
\u5BBF	宿	84	㝛
\u5BC7	寇	16	㓂宼
\u5BD3	寓	12	庽
\u5BDD	寝	17	寢寑
\u5BDF	察	113	詧
\u5BE8	寨	33	砦
\u5BF9	对	305	對
\u5BFB	寻	57	尋
\u5BFC	导	152	導
\u5BFF	寿	76	壽
\u5C04	射	218	䠶
\u5C06	将	91	將
\u5C14	尔	826	爾尒
\u5C18	尘	50	塵
\u5C1D	尝	19	嘗嚐甞
\u5C27	尧	9	堯
\u5C34	尴	2	尷
\u5C38	尸	40	屍
\u5C3D	尽	120	盡儘
\u5C40	局	162	侷
\u5C42	层	185	層
\u5C43	屃	3	屓屭
\u5C49	屉	4	屜
\u5C4A	届	11	屆
\u5C5E	属	116	屬
\u5C61	屡	17	屢
\u5C66	屦	1	屨
\u5C7F	屿	14	嶼
\u5C81	岁	46	歲嵗
\u5C82	岂	7	豈
\u5C96	岖	2	嶇
\u5C97	岗	43	崗
\u5C98	岘	3	峴
\u5C99	岙	1	嶴
\u5C9A	岚	9	嵐
\u5C9B	岛	249	㠀島
\u5CA9	岩	113	巖嵒巗
\u5CAD	岭	60	嶺
\u5CB3	岳	46	嶽
\u5CB8	岸	48	㟁
\u5CBD	岽	1	崬
\u5CBF	岿	1	巋
\u5CC4	峄	3	嶧
\u5CD2	峒	8	峝
\u5CE1	峡	57	峽
\u5CE3	峣	1	嶢
\u5CE4	峤	1	嶠
\u5CE5	峥	5	崢
\u5CE6	峦	12	巒
\u5CE8	峨	18	峩
\u5CED	峭	8	陗
\u5CF0	峰	96	峯
\u5D02	崂	3	嶗
\u5D03	崃	5	崍
\u5D04	崄	1	嶮
\u5D2D	崭	11	嶃嶄
\u5D58	嵘	4	嶸
\u5D5A	嵚	1	嶔
\u5D5D	嵝	1	嶁
\u5DC5	巅	4	巔
\u5DE1	巡	30	廵
\u5DE9	巩	12	鞏
\u5DEF	巯	1	巰
\u5E01	币	52	幣
\u5E03	布	365	佈
\u5E05	帅	17	帥
\u5E06	帆	22	㠶颿
\u5E08	师	168	師
\u5E0F	帏	2	幃
\u5E10	帐	46	帳
\u5E18	帘	14	簾
\u5E19	帙	5	袠
\u5E1A	帚	9	箒
\u5E1C	帜	7	幟
\u5E26	带	214	帶
\u5E27	帧	9	幀
\u5E2D	席	76	蓆
\u5E2E	帮	45	幫幇幚
\u5E31	帱	2	幬
\u5E3B	帻	1	幘
\u5E3C	帼	3	幗
\u5E3D	帽	51	㡌
\u5E42	幂	5	冪
\u5E55	幕	59	幙
\u5E72	干	236	乾幹乹亁
\u5E74	年	341	秊
\u5E76	并	71	並併竝
\u5E78	幸	39	倖
\u5E7A	幺	8	么
\u5E7F	广	180	廣
\u5E84	庄	63	莊
\u5E86	庆	80	慶
\u5E8A	床	72	牀
\u5E90	庐	18	廬
\u5E91	庑	5	廡
\u5E93	库	116	庫
\u5E94	应	255	應
\u5E99	庙	30	廟
\u5E9E	庞	22	龐
\u5E9F	废	63	廢癈
\u5EB5	庵	9	菴
\u5EB6	庶	9	庻
\u5EC9	廉	32	㢘亷
\u5EEA	廪	1	廩
\u5F00	开	483	開
\u5F02	异	169	異
\u5F03	弃	54	棄
\u5F04	弄	77	挵衖
\u5F11	弑	5	弒
\u5F20	张	150	張
\u5F25	弥	41	彌瀰
\u5F2A	弪	2	弳
\u5F2F	弯	41	彎
\u5F39	弹	183	彈
\u5F3A	强	186	強彊
\u5F52	归	122	歸
\u5F53	当	248	當噹
\u5F55	录	99	錄
\u5F5D	彝	32	彞
\u5F5F	彟	2	彠
\u5F66	彦	12	彥
\u5F7B	彻	29	徹
\u5F80	往	71	徃
\u5F81	征	114	徵
\u5F84	径	79	徑
\u5F87	徇	6	狥
\u5F95	徕	2	徠
\u5FA1	御	30	禦
\u5FB7	德	516	悳惪
\u5FBD	徽	29	幑
\u5FC6	忆	22	憶
\u5FCF	忏	2	懺
\u5FD7	志	121	誌
\u5FE7	忧	45	憂
\u5FF5	念	100	唸
\u5FFE	忾	2	愾
\u6000	怀	92	懷
\u6001	态	121	態
\u6002	怂	2	慫
\u6003	怃	1	憮
\u6004	怄	2	慪
\u6005	怅	5	悵
\u6006	怆	4	愴
\u601C	怜	20	憐
\u602A	怪	88	恠
\u603B	总	153	總
\u603C	怼	2	懟
\u603F	怿	1	懌
\u604B	恋	58	戀
\u604D	恍	17	怳
\u6052	恒	45	恆
\u6064	恤	20	䘏卹賉
\u6069	恩	112	㤙
\u606A	恪	6	愙
\u6073	恳	9	懇
\u6076	恶	156	惡噁
\u6078	恸	3	慟
\u6079	恹	5	懨
\u607A	恺	7	愷
\u607B	恻	7	惻
\u607C	恼	15	惱
\u607D	恽	1	惲
\u607F	恿	4	惥慂
\u608D	悍	15	猂
\u6096	悖	11	誖
\u60A6	悦	24	悅
\u60AB	悫	1	愨
\u60AC	悬	47	懸
\u60AD	悭	4	慳
\u60AE	悮	1	悞
\u60AF	悯	5	憫
\u60B4	悴	3	顇
\u60CA	惊	113	驚
\u60E7	惧	20	懼
\u60E8	惨	38	慘
\u60E9	惩	19	懲
\u60EB	惫	5	憊
\u60EC	惬	3	㥦愜
\u60ED	惭	6	慚慙
\u60EE	惮	3	憚
\u60EF	惯	32	慣
\u6106	愆	5	諐
\u6108	愈	22	癒
\u6120	愠	2	慍
\u6124	愤	30	憤
\u6126	愦	1	憒
\u6127	愧	27	媿
\u613F	愿	66	願
\u614E	慎	21	昚
\u6151	慑	9	懾慴
\u6168	慨	11	嘅
\u616D	慭	1	憖
\u6194	憔	4	癄顦
\u61A9	憩	6	憇
\u61D1	懑	4	懣
\u61D2	懒	28	懶嬾
\u61D4	懔	1	懍
\u6206	戆	5	戇
\u620B	戋	3	戔
\u620F	戏	97	戲戯
\u6210	成	443	晟
\u6217	戗	3	戧
\u6218	战	278	戰
\u621A	戚	24	慼慽
\u621B	戛	11	戞
\u622C	戬	1	戩
\u622E	戮	10	剹勠
\u6237	户	136	戶
\u624D	才	98	纔
\u624E	扎	77	紮紥
\u6251	扑	45	撲
\u6258	托	162	託
\u625B	扛	4	摃
\u6263	扣	59	釦
\u6267	执	59	執
\u6269	扩	32	擴
\u626A	扪	3	捫
\u626B	扫	47	掃
\u626C	扬	91	揚敭
\u626F	扯	42	撦
\u6270	扰	38	擾
\u627C	扼	11	搤
\u6298	折	110	摺
\u629A	抚	37	撫
\u629B	抛	33	拋
\u629F	抟	6	摶
\u62A0	抠	4	摳
\u62A1	抡	3	掄
\u62A2	抢	36	搶
\u62A4	护	119	護
\u62A5	报	330	報
\u62AC	抬	13	擡
\u62C5	担	37	擔
\u62D6	拖	67	拕
\u62D7	拗	11	抝
\u62DF	拟	42	儗擬
\u62E2	拢	13	攏
\u62E3	拣	11	揀
\u62E5	拥	17	擁
\u62E6	拦	13	攔
\u62E7	拧	6	擰
\u62E8	拨	38	撥
\u62E9	择	33	擇
